frame,video_time_s,run_elapsed_s,position_raw,position_percent,position_smooth_percent,visible_moving_markers,marker_progress
0,0.0,17.862343240344774,-0.0054684249627845296,0.0,0.0,2,"{'11': -0.005089769885837402, '10': -0.005847080039731657}"
1,0.2,18.062338510061725,-0.005834320316950094,0.0,0.0,2,"{'11': -0.005466270791643403, '10': -0.006202369842256785}"
2,0.4,18.262333779778675,-0.005842196169505463,0.0,0.0,2,"{'11': -0.005752435675983411, '10': -0.005931956663027515}"
3,0.6000000000000001,18.462329049495626,-0.0061645712353281205,0.0,0.0,2,"{'11': -0.006042775098275082, '10': -0.006286367372381159}"
4,0.8,18.662324319212576,-0.00583156473505139,0.0,0.0,2,"{'11': -0.0054288465496216895, '10': -0.0062342829204810905}"
5,1.0,18.862319588929527,-0.005630048573012249,0.0,0.0,2,"{'11': -0.0053083279770363215, '10': -0.005951769168988176}"
6,1.2000000000000002,19.06231485864648,-0.0053199276526497636,0.0,0.0,2,"{'11': -0.004987031159111387, '10': -0.0056528241461881405}"
7,1.4000000000000001,19.26231012836343,-0.0046789440022045525,0.0,0.0,2,"{'11': -0.004706065037270494, '10': -0.004651822967138611}"
8,1.6,19.46230539808038,-0.003878858213579649,0.0,0.0,2,"{'11': -0.003966569230427485, '10': -0.003791147196731813}"
9,1.8,19.662300667797332,-0.0030540605835302653,0.0,0.0,2,"{'11': -0.0029945173360374877, '10': -0.003113603831023043}"
10,2.0,19.862295937514283,-0.00255958630540492,0.0,0.0,2,"{'11': -0.0025790202473689504, '10': -0.0025401523634408893}"
11,2.2,20.062291207231233,-0.001863547533722615,0.0,0.0,2,"{'11': -0.001964049970693741, '10': -0.0017630450967514892}"
12,2.4000000000000004,20.262286476948184,-0.001611044402140934,0.0,0.0,2,"{'11': -0.0015437264230612402, '10': -0.0016783623812206276}"
13,2.6,20.462281746665134,-0.0009723800506291113,0.0,0.0,2,"{'11': -0.0011247850345200673, '10': -0.0008199750667381553}"
14,2.8000000000000003,20.662277016382085,-0.0009236427317631532,0.0,0.0,2,"{'11': -0.0008878962625698775, '10': -0.0009593892009564291}"
15,3.0,20.862272286099035,-0.0008086487473016248,0.0,0.0,2,"{'11': -0.0007696911924241124, '10': -0.0008476063021791373}"
16,3.2,21.062267555815986,-0.0003691387889917739,0.0,0.0,2,"{'11': -0.0003983535208909225, '10': -0.0003399240570926253}"
17,3.4000000000000004,21.26226282553294,-0.00014634468756704008,0.0,0.0,2,"{'11': -0.00017425928149839516, '10': -0.000118430093635685}"
18,3.6,21.46225809524989,0.0004720182450988558,0.04720182450988558,0.04720182450988558,2,"{'11': 0.0006224544531871315, '10': 0.0003215820370105801}"
19,3.8000000000000003,21.66225336496684,0.0017609992309868452,0.17609992309868452,0.14076215294661718,2,"{'11': 0.0020347482475822683, '10': 0.0014872502143914222}"
20,4.0,21.86224863468379,0.0014076215294661718,0.14076215294661718,0.17609992309868452,2,"{'11': 0.0015046671845242072, '10': 0.0013105758744081364}"
21,4.2,22.06224390440074,0.0017984432358904338,0.17984432358904337,0.17984432358904337,2,"{'11': 0.0017978639531871842, '10': 0.0017990225185936831}"
22,4.4,22.262239174117692,0.0035040508773704197,0.350405087737042,0.350405087737042,2,"{'11': 0.0033199881126989733, '10': 0.003688113642041866}"
23,4.6000000000000005,22.462234443834642,0.006794374986008528,0.6794374986008528,0.6794374986008528,2,"{'11': 0.0067581797877560015, '10': 0.0068305701842610545}"
24,4.800000000000001,22.662229713551593,0.008345668183605357,0.8345668183605357,0.8345668183605357,2,"{'11': 0.0080169891714476, '10': 0.008674347195763113}"
25,5.0,22.862224983268543,0.011165395787817733,1.1165395787817733,1.1165395787817733,2,"{'11': 0.010843523964369295, '10': 0.01148726761126617}"
26,5.2,23.062220252985494,0.01378498492231529,1.378498492231529,1.378498492231529,2,"{'11': 0.013279615660127395, '10': 0.014290354184503187}"
27,5.4,23.262215522702448,0.019021239591220825,1.9021239591220824,1.9021239591220824,2,"{'11': 0.018453742462253165, '10': 0.019588736720188484}"
28,5.6000000000000005,23.4622107924194,0.026419887396968156,2.6419887396968154,2.6419887396968154,2,"{'11': 0.02577713576335005, '10': 0.027062639030586266}"
29,5.800000000000001,23.66220606213635,0.0365635714627874,3.65635714627874,3.65635714627874,2,"{'11': 0.03587550200455965, '10': 0.037251640921015156}"
30,6.0,23.8622013318533,0.04972034435773863,4.972034435773863,4.972034435773863,2,"{'11': 0.04883862798938729, '10': 0.05060206072608998}"
31,6.2,24.06219660157025,0.06654921736137856,6.654921736137856,6.654921736137856,2,"{'11': 0.06560392669892283, '10': 0.06749450802383429}"
32,6.4,24.2621918712872,0.08399877247744736,8.399877247744737,8.399877247744737,2,"{'11': 0.08309898858226147, '10': 0.08489855637263326}"
33,6.6000000000000005,24.46218714100415,0.10296655285185408,10.296655285185407,10.296655285185407,2,"{'11': 0.10204998285539708, '10': 0.10388312284831108}"
34,6.800000000000001,24.6621824107211,0.1229112443127546,12.29112443127546,12.29112443127546,2,"{'11': 0.12211748975026389, '10': 0.12370499887524532}"
35,7.0,24.86217768043805,0.1416916322984961,14.16916322984961,14.16916322984961,2,"{'11': 0.14055928627868114, '10': 0.14282397831831106}"
36,7.2,25.062172950155002,0.16073868476477562,16.073868476477564,16.073868476477564,2,"{'11': 0.16007081693538833, '10': 0.16140655259416292}"
37,7.4,25.262168219871953,0.17958032291414583,17.958032291414582,17.958032291414582,2,"{'11': 0.17851918111417375, '10': 0.1806414647141179}"
38,7.6000000000000005,25.462163489588903,0.19745523457637526,19.745523457637525,19.745523457637525,2,"{'11': 0.1966807511716221, '10': 0.19822971798112846}"
39,7.800000000000001,25.662158759305854,0.21547185618782605,21.547185618782606,21.547185618782606,2,"{'11': 0.21438731566331973, '10': 0.21655639671233234}"
40,8.0,25.862154029022804,0.23343144300480392,23.343144300480393,23.343144300480393,2,"{'11': 0.2325442049198084, '10': 0.23431868108979945}"
41,8.200000000000001,26.062149298739758,0.25223644769806297,25.2236447698063,25.2236447698063,2,"{'11': 0.25148712922114724, '10': 0.2529857661749787}"
42,8.4,26.26214456845671,0.2712118129065989,27.12118129065989,27.12118129065989,2,"{'11': 0.2700638583646851, '10': 0.2723597674485127}"
43,8.6,26.462139838173655,0.2919633350761209,29.19633350761209,29.19633350761209,2,"{'11': 0.2909476467334973, '10': 0.29297902341874443}"
44,8.8,26.66213510789061,0.3141865030925638,31.41865030925638,31.41865030925638,2,"{'11': 0.312973825361145, '10': 0.3153991808239826}"
45,9.0,26.86213037760756,0.3358847138869894,33.588471388698935,33.588471388698935,2,"{'11': 0.33466838678753086, '10': 0.3371010409864479}"
46,9.200000000000001,27.062125647324514,0.3568382443136886,35.68382443136886,35.68382443136886,2,"{'11': 0.3556299503934983, '10': 0.35804653823387883}"
47,9.4,27.26212091704146,0.37088086327853437,37.08808632785344,37.08808632785344,2,"{'11': 0.36969557818042786, '10': 0.37206614837664087}"
48,9.600000000000001,27.462116186758415,0.37248176578373127,37.248176578373126,37.09614709212828,2,"{'11': 0.371207547796063, '10': 0.37375598377139957}"
49,9.8,27.662111456475365,0.37096147092128273,37.09614709212828,37.11992529390792,2,"{'11': 0.36953399370061674, '10': 0.3723889481419487}"
50,10.0,27.862106726192316,0.3711992529390792,37.11992529390792,37.09614709212828,2,"{'11': 0.3698178755233197, '10': 0.3725806303548387}"
51,10.200000000000001,28.062101995909266,0.37089417777152567,37.08941777715257,37.09837175293483,2,"{'11': 0.36951663427813186, '10': 0.3722717212649194}"
52,10.4,28.262097265626217,0.37098371752934833,37.09837175293483,37.09837175293483,2,"{'11': 0.36985146107344413, '10': 0.37211597398525253}"
53,10.600000000000001,28.462092535343167,0.37103564277200385,37.103564277200384,37.09837175293483,2,"{'11': 0.3696352841210328, '10': 0.37243600142297495}"
54,10.8,28.662087805060118,0.36941709411157053,36.941709411157056,36.941709411157056,2,"{'11': 0.3680881522110866, '10': 0.3707460360120544}"
55,11.0,28.86208307477707,0.363012357038507,36.3012357038507,36.3012357038507,2,"{'11': 0.36180340371123826, '10': 0.36422131036577565}"
56,11.200000000000001,29.06207834449402,0.35715991435020633,35.715991435020634,35.715991435020634,2,"{'11': 0.3557713691917314, '10': 0.3585484595086813}"
57,11.4,29.26207361421097,0.3489632289386822,34.89632289386822,34.89632289386822,2,"{'11': 0.3477327246661831, '10': 0.3501937332111813}"
58,11.600000000000001,29.46206888392792,0.3396993159354128,33.96993159354128,33.96993159354128,2,"{'11': 0.3382950743806644, '10': 0.3411035574901612}"
59,11.8,29.66206415364487,0.3288388001936029,32.88388001936029,32.88388001936029,2,"{'11': 0.32770003639340883, '10': 0.32997756399379696}"
60,12.0,29.86205942336182,0.3175782456385259,31.757824563852587,31.757824563852587,2,"{'11': 0.3162252519964964, '10': 0.3189312392805553}"
61,12.200000000000001,30.06205469307877,0.3071256186638551,30.712561866385514,30.712561866385514,2,"{'11': 0.30591994198369643, '10': 0.30833129534401377}"
62,12.4,30.26204996279572,0.2954943436915013,29.54943436915013,29.54943436915013,2,"{'11': 0.294453168653916, '10': 0.29653551872908657}"
63,12.600000000000001,30.462045232512676,0.2851411443460117,28.51411443460117,28.51411443460117,2,"{'11': 0.28378468596041534, '10': 0.28649760273160807}"
64,12.8,30.662040502229626,0.2747084301500612,27.470843015006118,27.470843015006118,2,"{'11': 0.2736292720826766, '10': 0.27578758821744576}"
65,13.0,30.862035771946573,0.2641953512343025,26.41953512343025,26.41953512343025,2,"{'11': 0.26298007789847144, '10': 0.2654106245701336}"
66,13.200000000000001,31.062031041663527,0.25360910360045297,25.360910360045295,25.360910360045295,2,"{'11': 0.25249121742094366, '10': 0.25472698977996233}"
67,13.4,31.262026311380477,0.24326811360561476,24.326811360561475,24.326811360561475,2,"{'11': 0.2422111634324194, '10': 0.2443250637788101}"
68,13.600000000000001,31.46202158109743,0.23209758131566172,23.209758131566172,23.209758131566172,2,"{'11': 0.23124212591144902, '10': 0.2329530367198744}"
69,13.8,31.66201685081438,0.22130852961964104,22.130852961964102,22.130852961964102,2,"{'11': 0.22050036912098003, '10': 0.22211669011830204}"
70,14.0,31.86201212053133,0.21064674973315578,21.06467497331558,21.06467497331558,2,"{'11': 0.20960703429002228, '10': 0.21168646517628925}"
71,14.200000000000001,32.06200739024828,0.2002889394894163,20.028893948941633,20.028893948941633,2,"{'11': 0.19933283103365643, '10': 0.2012450479451762}"
72,14.4,32.26200265996523,0.19075465188769228,19.07546518876923,19.07546518876923,2,"{'11': 0.18953568058213244, '10': 0.19197362319325212}"
73,14.600000000000001,32.461997929682184,0.1792183435259399,17.92183435259399,17.92183435259399,2,"{'11': 0.17778886849017156, '10': 0.18064781856170825}"
74,14.8,32.661993199399134,0.16907994460198852,16.907994460198854,16.907994460198854,2,"{'11': 0.16770509417254426, '10': 0.1704547950314328}"
75,15.0,32.861988469116085,0.1579262018872517,15.79262018872517,15.79262018872517,2,"{'11': 0.15661339256395496, '10': 0.15923901121054843}"
76,15.200000000000001,33.061983738833035,0.147043181975542,14.704318197554201,14.704318197554201,2,"{'11': 0.1458823392294419, '10': 0.14820402472164212}"
77,15.4,33.261979008549986,0.13616938255423425,13.616938255423424,13.616938255423424,2,"{'11': 0.13493847862373998, '10': 0.13740028648472852}"
78,15.600000000000001,33.461974278266936,0.12527847438998968,12.527847438998968,12.527847438998968,2,"{'11': 0.12422679295544511, '10': 0.12633015582453427}"
79,15.8,33.66196954798389,0.11474397605664555,11.474397605664555,11.474397605664555,2,"{'11': 0.11383359851978181, '10': 0.1156543535935093}"
80,16.0,33.86196481770084,0.1043324546974777,10.43324546974777,10.43324546974777,2,"{'11': 0.10351301538767979, '10': 0.1051518940072756}"
81,16.2,34.06196008741779,0.09460709226912303,9.460709226912304,9.460709226912304,2,"{'11': 0.09358467850224263, '10': 0.09562950603600343}"
82,16.400000000000002,34.26195535713474,0.08435654946789674,8.435654946789674,8.435654946789674,2,"{'11': 0.08349355081171031, '10': 0.08521954812408317}"
83,16.6,34.46195062685169,0.07512579192200615,7.512579192200615,7.512579192200615,2,"{'11': 0.07446830330425919, '10': 0.07578328053975311}"
84,16.8,34.66194589656864,0.066435345160817,6.643534516081701,6.643534516081701,2,"{'11': 0.06584047601939687, '10': 0.06703021430223714}"
85,17.0,34.86194116628559,0.05852596326478526,5.852596326478526,5.852596326478526,2,"{'11': 0.05788134820866031, '10': 0.05917057832091022}"
86,17.2,35.06193643600254,0.0511452327701042,5.11452327701042,5.11452327701042,2,"{'11': 0.05067864297109324, '10': 0.051611822569115166}"
87,17.400000000000002,35.26193170571949,0.044122871712949895,4.41228717129499,4.41228717129499,2,"{'11': 0.043749043661201956, '10': 0.044496699764697834}"
88,17.6,35.46192697543644,0.03834355623153044,3.8343556231530442,3.8343556231530442,2,"{'11': 0.03794174827778094, '10': 0.03874536418527994}"
89,17.8,35.66192224515339,0.0335013248541069,3.35013248541069,3.35013248541069,2,"{'11': 0.03329096150053164, '10': 0.03371168820768217}"
90,18.0,35.86191751487034,0.03033273854895295,3.033273854895295,3.033273854895295,2,"{'11': 0.03020459982173213, '10': 0.030460877276173772}"
91,18.2,36.06191278458729,0.027454437048746144,2.7454437048746145,2.7454437048746145,2,"{'11': 0.02750833562226354, '10': 0.027400538475228747}"
